,Date,Price
0,1997-01-07,3.82
1,1997-01-08,3.8
2,1997-01-09,3.61
3,1997-01-10,3.92
4,1997-01-13,4.0
5,1997-01-14,4.01
6,1997-01-15,4.34
7,1997-01-16,4.71
8,1997-01-17,3.91
9,1997-01-20,3.26
10,1997-01-21,2.99
11,1997-01-22,3.05
12,1997-01-23,2.96
13,1997-01-24,2.62
14,1997-01-27,2.98
15,1997-01-28,3.05
16,1997-01-29,2.91
17,1997-01-30,2.86
18,1997-01-31,2.77
19,1997-02-03,2.49
20,1997-02-04,2.59
21,1997-02-05,2.65
22,1997-02-06,2.51
23,1997-02-07,2.39
24,1997-02-10,2.42
25,1997-02-11,2.34
26,1997-02-12,2.42
27,1997-02-13,2.22
28,1997-02-14,2.12
29,1997-02-18,1.84
30,1997-02-19,1.95
31,1997-02-20,1.92
32,1997-02-21,1.92
33,1997-02-24,1.92
34,1997-02-25,1.77
35,1997-02-26,1.81
36,1997-02-27,1.8
37,1997-02-28,1.78
38,1997-03-03,1.8
39,1997-03-04,1.87
40,1997-03-05,1.92
41,1997-03-06,1.82
42,1997-03-07,1.89
43,1997-03-10,1.95
44,1997-03-11,1.92
45,1997-03-12,1.96
46,1997-03-13,1.98
47,1997-03-14,1.97
48,1997-03-17,2.01
49,1997-03-18,1.91
50,1997-03-19,1.88
51,1997-03-20,1.88
52,1997-03-21,1.87
53,1997-03-24,1.8
54,1997-03-25,1.85
55,1997-03-26,1.85
56,1997-03-27,1.84
57,1997-03-31,1.84
58,1997-04-01,1.95
59,1997-04-02,1.85
60,1997-04-03,1.87
61,1997-04-04,1.91
62,1997-04-07,1.99
63,1997-04-08,2.01
64,1997-04-09,1.96
65,1997-04-10,1.97
66,1997-04-11,1.98
67,1997-04-14,2.0
68,1997-04-15,2.0
69,1997-04-16,2.02
70,1997-04-17,2.08
71,1997-04-18,2.1
72,1997-04-21,2.09
73,1997-04-22,2.1
74,1997-04-23,2.22
75,1997-04-24,2.11
76,1997-04-25,2.16
77,1997-04-28,2.1
78,1997-04-29,2.09
79,1997-04-30,2.16
80,1997-05-01,2.19
81,1997-05-02,2.21
82,1997-05-05,2.23
83,1997-05-06,2.25
84,1997-05-07,2.34
85,1997-05-08,2.33
86,1997-05-09,2.3
87,1997-05-12,2.27
88,1997-05-13,2.18
89,1997-05-14,2.22
90,1997-05-15,2.25
91,1997-05-16,2.19
92,1997-05-19,2.25
93,1997-05-20,2.22
94,1997-05-21,2.21
95,1997-05-22,2.22
96,1997-05-23,2.2
97,1997-05-27,2.29
98,1997-05-28,2.34
99,1997-05-29,2.29
100,1997-05-30,2.23
101,1997-06-02,2.2
102,1997-06-03,2.11
103,1997-06-04,2.19
104,1997-06-05,2.18
105,1997-06-06,2.19
106,1997-06-09,2.19
107,1997-06-10,2.16
108,1997-06-11,2.16
109,1997-06-12,2.14
110,1997-06-13,2.15
111,1997-06-16,2.2
112,1997-06-17,2.2
113,1997-06-18,2.22
114,1997-06-19,2.23
115,1997-06-20,2.25
116,1997-06-23,2.29
117,1997-06-24,2.32
118,1997-06-25,2.32
119,1997-06-26,2.23
120,1997-06-27,2.17
121,1997-06-30,2.17
122,1997-07-01,2.16
123,1997-07-02,2.14
124,1997-07-03,2.11
125,1997-07-07,2.13
126,1997-07-08,2.13
127,1997-07-09,2.16
128,1997-07-10,2.15
129,1997-07-11,2.16
130,1997-07-14,2.18
131,1997-07-15,2.21
132,1997-07-16,2.24
133,1997-07-17,2.29
134,1997-07-18,2.26
135,1997-07-21,2.17
136,1997-07-22,2.18
137,1997-07-23,2.2
138,1997-07-24,2.24
139,1997-07-25,2.22
140,1997-07-28,2.19
141,1997-07-29,2.23
142,1997-07-30,2.19
143,1997-07-31,2.23
144,1997-08-01,2.24
145,1997-08-04,2.26
146,1997-08-05,2.33
147,1997-08-06,2.38
148,1997-08-07,2.5
149,1997-08-08,2.38
150,1997-08-11,2.53
151,1997-08-12,2.56
152,1997-08-13,2.45
153,1997-08-14,2.57
154,1997-08-15,2.53
155,1997-08-18,2.56
156,1997-08-19,2.61
157,1997-08-20,2.62
158,1997-08-21,2.45
159,1997-08-22,2.47
160,1997-08-25,2.53
161,1997-08-26,2.58
162,1997-08-27,2.51
163,1997-08-28,2.57
164,1997-08-29,2.69
165,1997-09-02,2.82
166,1997-09-03,2.86
167,1997-09-04,2.73
168,1997-09-05,2.67
169,1997-09-08,2.67
170,1997-09-09,2.74
171,1997-09-10,2.74
172,1997-09-11,2.78
173,1997-09-12,2.86
174,1997-09-15,2.88
175,1997-09-16,2.83
176,1997-09-17,2.75
177,1997-09-18,2.84
178,1997-09-19,2.94
179,1997-09-22,2.98
180,1997-09-23,3.09
181,1997-09-24,3.03
182,1997-09-25,3.05
183,1997-09-26,3.24
184,1997-09-29,3.09
185,1997-09-30,2.96
186,1997-10-01,3.08
187,1997-10-02,2.97
188,1997-10-03,2.91
189,1997-10-06,2.96
190,1997-10-07,2.81
191,1997-10-08,2.8
192,1997-10-09,2.8
193,1997-10-10,2.78
194,1997-10-13,2.87
195,1997-10-14,2.84
196,1997-10-15,2.84
197,1997-10-16,2.94
198,1997-10-17,2.97
199,1997-10-20,3.05
200,1997-10-21,3.13
201,1997-10-22,3.24
202,1997-10-23,3.34
203,1997-10-24,3.29
204,1997-10-27,3.46
205,1997-10-28,3.61
206,1997-10-29,3.45
207,1997-10-30,3.34
208,1997-10-31,3.22
209,1997-11-03,3.23
210,1997-11-04,3.15
211,1997-11-05,3.18
212,1997-11-06,3.2
213,1997-11-07,3.05
214,1997-11-10,3.2
215,1997-11-11,3.26
216,1997-11-12,3.28
217,1997-11-13,3.27
218,1997-11-14,3.25
219,1997-11-17,3.1
220,1997-11-18,3.0
221,1997-11-19,2.97
222,1997-11-20,2.77
223,1997-11-21,2.59
224,1997-11-24,2.63
225,1997-11-25,2.51
226,1997-11-26,2.5
